IP 地址,端口号,TLS,数据中心,丢包率,平均延迟,下载速度 (MB/s)
104.16.1.119,443,True,TPE,0.0,157.56,8.26
104.18.200.43,443,True,TPE,0.0,158.44,8.21
104.16.5.214,443,True,TPE,0.0,104.24,8.13
104.16.10.176,443,True,TPE,0.0,119.26,7.96
108.162.198.92,443,True,TPE,0.0,76.39,7.96
104.16.0.214,443,True,TPE,0.0,129.74,7.72
162.159.34.232,443,True,TPE,0.0,83.88,7.7
162.159.35.177,443,True,TPE,0.0,41.37,7.53
104.16.4.17,443,True,TPE,0.0,121.26,6.29
104.16.62.15,443,True,TPE,0.0,158.06,6.28
