IP 地址,端口号,TLS,数据中心,丢包率,平均延迟,下载速度 (MB/s)
104.16.14.100,443,True,LAX,0.0,157.44,9.98
104.16.63.78,443,True,LAX,0.0,182.14,9.73
104.16.5.137,443,True,LAX,0.0,122.96,9.52
108.162.198.53,443,True,LAX,0.0,146.76,9.03
104.16.23.44,443,True,LAX,0.0,182.0,8.73
162.159.60.159,443,True,LAX,0.0,153.72,8.48
104.16.2.243,443,True,LAX,0.0,120.57,8.46
104.16.3.151,443,True,LAX,0.0,82.02,7.37
104.16.113.74,443,True,LAX,0.0,181.98,7.32
104.16.12.230,443,True,LAX,0.0,125.09,7.1
