IP 地址,端口号,TLS,数据中心,丢包率,平均延迟,下载速度 (MB/s)
104.16.15.223,443,True,NRT,0.0,123.6,7.99
162.159.60.58,443,True,NRT,0.0,144.2,7.51
104.16.171.102,443,True,NRT,0.0,160.74,7.4
104.16.5.12,443,True,NRT,0.0,124.27,7.32
104.16.11.23,443,True,NRT,0.0,115.63,6.79
104.18.79.72,443,True,NRT,0.0,65.92,6.73
104.16.77.97,443,True,NRT,0.0,184.74,6.63
108.162.198.47,443,True,NRT,0.0,114.86,6.42
104.16.4.146,443,True,NRT,0.0,127.8,6.29
162.159.42.167,443,True,NRT,0.0,83.32,6.04
