IP 地址,端口号,TLS,数据中心,丢包率,平均延迟,下载速度 (MB/s)
104.17.4.72,443,True,HNL,0.0,193.51,10.08
104.16.212.15,443,True,HNL,0.0,193.02,9.81
198.41.219.209,443,True,HNL,0.0,193.2,9.69
104.16.210.22,443,True,HNL,0.0,193.12,9.6
104.16.227.114,443,True,HNL,0.0,193.57,9.54
104.16.163.198,443,True,HNL,0.0,193.32,9.33
104.16.120.152,443,True,HNL,0.0,192.65,9.07
104.16.185.177,443,True,HNL,0.0,192.48,8.91
104.17.38.183,443,True,HNL,0.0,192.78,7.08
104.16.2.73,443,True,HNL,0.0,43.27,5.94
